sosa-description_en,sosa-description_fr,commodity-description_en,commodity-description_fr,commodity,supplier-standardized-name,supplier-legal-name,supplier-operating-name,end-user-entity_en,end-user-entity_fr,award-date,expiry-date,delivery-point-code,delivery-point_en,delivery-point_fr,agreement-type_en,agreement-type_fr,agreement-number,date-file-published
"Advertising Creative Services and Media Planning/Strategy. Legacy agreement: ACART COMMUNICATIONS INC (CW2352760-ACM_155692240).","Services de création publicitaire et planification/stratégie média. Ancien accord : ACART COMMUNICATIONS INC (CW2352760-ACM_155692240).","Advertising agency services","Services publicitaires",82101800,"ACART COMMUNICATIONS INC","Acart Communications Inc",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2024-03-01,2026-06-30,CA,Canada,Canada,SA,AMA,CW2352778,"2026-03-12 22:50:02"
"Advertising Creative Services and Media Planning/Strategy. Legacy agreement: INNOCEAN CANADA (CW2352760-ACM_161262796).","Services de création publicitaire et planification/stratégie média. Ancien accord : INNOCEAN CANADA (CW2352760-ACM_161262796).","Advertising agency services","Services publicitaires",82101800,"INNOCEAN CANADA","Innocean Canada",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2024-03-01,2026-06-30,CA,Canada,Canada,SA,AMA,CW2352781,"2026-03-12 22:50:02"
"Advertising Creative Services and Media Planning/Strategy. Legacy agreement: PUBLICIS CANADA INC (CW2352760-ACM_184129019).","Services de création publicitaire et planification/stratégie média. Ancien accord : PUBLICIS CANADA INC (CW2352760-ACM_184129019).","Advertising agency services","Services publicitaires",82101800,"PUBLICIS CANADA INC","Publicis Canada Inc",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2024-03-01,2026-06-30,CA,Canada,Canada,SA,AMA,CW2352787,"2026-03-12 22:50:02"
"Advertising Creative Services. Legacy agreement: OPENGRAVITY INC (CW2352760-ACM_177190840).","Services de création publicitaire. Ancien accord : OPENGRAVITY INC (CW2352760-ACM_177190840).","Advertising agency services","Services publicitaires",82101800,"OPENGRAVITY INC","OpenGravity Inc",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2024-03-01,2026-06-30,CA,Canada,Canada,SA,AMA,CW2352795,"2026-03-12 22:50:02"
"DISO EQ754-240358-001-PWL-AECOM CONSULTANTS INC-DAMS AND WATER RETAINING STRUCTURES ENGINEERING SERVICE ONTARIO REGION","OCIM EQ754-240358-001-PWL-AECOM CONSULTANTS INC â SERVICES DâINGÉNIERIE DES BARRAGES ET DES OUVRAGES DE RETENUE, RÉGION DE LâONTARIO","Professional engineering services, Civil engineering, Structural engineering, Dam engineering","Services d'ingénierie professionnelle, Génie civil, Construction civile, Ingénierie des digues","81100000, 81101500, 81101505, 81101507","CONSULTANTS AECOM INC AECOM CONSULTANTS INC","CONSULTANTS AECOM INC. AECOM CONSULTANTS INC.",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2024-03-11,2027-03-10,CA-ON,Ontario,Ontario,DISO,OCIM,CW2352866,"2026-03-12 22:50:02"
"DISO EQ754-240358-002-PWL- CIMA CANADA  INC.- DAMS AND WATER RE-TAINING STRUCTURES ENGINEERING SERVICE ONTARIO REGION","OCIM EQ754-240358-002-PWL- CIMA CANADA INC.- SERVICE DâINGÉNIERIE DES BARRAGES ET DES STRUCTURES DE RÉTENTION DâEAU, RÉGION DE LâONTARIO","Professional engineering services, Structural engineering, Dam engineering, Civil engineering","Services d'ingénierie professionnelle, Construction civile, Ingénierie des digues, Génie civil","81100000, 81101505, 81101507, 81101500","CIMA CANADA INC","CIMA CANADA INC.",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2024-03-11,2027-03-10,CA-ON,Ontario,Ontario,DISO,OCIM,CW2352872,"2026-03-12 22:50:02"
"DISO EQ754-240358-003-PWL-STANTEC CONSULTING LTD-DAMS AND WATER RETAINING STRUCTURES ENGINEERING SERVICE ONTARIO REGION","OCIM EQ754-240358-003-PWL-STANTEC CONSULTING LTD-services de génie pour des barrages et ouvrages de retenue deau région de lontario","Dam engineering, Civil engineering, Structural engineering, Professional engineering services","Ingénierie des digues, Génie civil, Construction civile, Services d'ingénierie professionnelle","81101507, 81101500, 81101505, 81100000","STANTEC CONSULTING LTD","Stantec Consulting Ltd.",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2024-03-11,2027-03-10,CA-ON,Ontario,Ontario,DISO,OCIM,CW2352875,"2026-03-12 22:50:02"
"5P414-250100-001-HL Drummed Aviation Fuel for Wood Buffalo National Park","5P414-250100-001-HL Carburant d’aviation en barils pour le parc national Wood Buffalo","Aviation fuel","Carburants d'aviation",15101504,"FLIGHT FUELS LIMITED PARTNERSHIP","FLIGHT FUELS LIMITED PARTNERSHIP",,"Parks Canada","Parcs Canada",2024-03-06,2026-03-31,CA-AB,Alberta,Alberta,RISO,OCIR,CW2352998,"2026-03-12 22:50:02"
"5P414-250100-001-HL Drummed Aviation Fuel for Wood Buffalo National Park","5P414-250100-001-HL Carburant d’aviation en barils pour le parc national Wood Buffalo","Aviation fuel","Carburants d'aviation",15101504,"FLIGHT FUELS LIMITED PARTNERSHIP","FLIGHT FUELS LIMITED PARTNERSHIP",,"Parks Canada","Parcs Canada",2024-03-06,2026-03-31,CA-NT,"Northwest Territories","Territoires du Nord-Ouest",RISO,OCIR,CW2352998,"2026-03-12 22:50:02"
"Advertising Creative Services. Legacy agreement: BANFIELD-SEGUIN LTD (CW2352760-ACM_158043312).","Services de création publicitaire. Ancien accord : BANFIELD-SEGUIN LTD (CW2352760-ACM_158043312).","Advertising agency services","Services publicitaires",82101800,"BANFIELD-SEGUIN LTD","BANFIELD-SEGUIN LTD.",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2024-03-01,2026-06-30,CA,Canada,Canada,SA,AMA,CW2353021,"2026-03-12 22:50:02"
"Advertising Creative Services. Legacy agreement: TARGET COMMUNICATIONS LIMITED (CW2352760-ACM_160748978).","Services de création publicitaire. Ancien accord : TARGET COMMUNICATIONS LIMITED (CW2352760-ACM_160748978).","Advertising agency services","Services publicitaires",82101800,"TARGET COMMUNICATIONS LIMITED","Target Communications Limited",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2024-03-01,2026-06-30,CA,Canada,Canada,SA,AMA,CW2353023,"2026-03-12 22:50:02"
"Advertising Creative Services. Legacy agreement: TARGET MARKETING & COMMUNICATIONS INC (CW2352760-ACM_172646252).","Services de création publicitaire. Ancien accord : TARGET MARKETING & COMMUNICATIONS INC (CW2352760-ACM_172646252).","Advertising agency services","Services publicitaires",82101800,"TARGET MARKETING & COMMUNICATIONS INC","Target Marketing & Communications Inc.",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2024-03-01,2026-06-30,CA,Canada,Canada,SA,AMA,CW2353025,"2026-03-12 22:50:02"
"Advertising Creative Services. Legacy agreement: OGILVY CANADA (CW2352760-ACM_172827094).","Services de création publicitaire. Ancien accord : OGILVY CANADA (CW2352760-ACM_172827094).","Advertising agency services","Services publicitaires",82101800,"WPP GROUP CANADA COMMUNICATIONS ULC","WPP GROUP CANADA COMMUNICATIONS ULC",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2024-03-01,2026-06-30,CA,Canada,Canada,SA,AMA,CW2353027,"2026-03-12 22:50:02"
"Advertising Creative Services. Legacy agreement: AGENCY59 LTD (CW2352760-ACM_172690197).","Services de création publicitaire. Ancien accord : AGENCY59 LTD (CW2352760-ACM_172690197).","Advertising agency services","Services publicitaires",82101800,"AGENCY59 LTD","AGENCY59 LTD.",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2024-03-01,2026-06-30,CA,Canada,Canada,SA,AMA,CW2353029,"2026-03-12 22:50:02"
"Advertising Creative Services. Legacy agreement: SID LEE (CW2352760-ACM_184309074).","Services de création publicitaire. Ancien accord : SID LEE (CW2352760-ACM_184309074).","Advertising agency services","Services publicitaires",82101800,"SID LEE","Sid Lee",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2024-03-01,2026-06-30,CA,Canada,Canada,SA,AMA,CW2353031,"2026-03-12 22:50:02"
"Advertising Creative Services. Legacy agreement: QUILLER & BLAKE ADVERTISING LTD (CW2352760-ACM_153931711).","Services de création publicitaire. Ancien accord : QUILLER & BLAKE ADVERTISING LTD (CW2352760-ACM_153931711).","Advertising agency services","Services publicitaires",82101800,"QUILLER & BLAKE ADVERTISING LTD","QUILLER & BLAKE ADVERTISING LTD",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2024-03-01,2026-06-30,CA,Canada,Canada,SA,AMA,CW2353033,"2026-03-12 22:50:02"
"Advertising Creative Services. Legacy agreement: ACCURATE DESIGN & COMMUNICATION INC (CW2352760-ACM_148119593).","Services de création publicitaire. Ancien accord : ACCURATE DESIGN & COMMUNICATION INC (CW2352760-ACM_148119593).","Advertising agency services","Services publicitaires",82101800,"ACCURATE DESIGN & COMMUNICATION INC","Accurate Design & Communication Inc",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2024-03-01,2026-06-30,CA,Canada,Canada,SA,AMA,CW2353035,"2026-03-12 22:50:02"
"Advertising Creative Services. Legacy agreement: WUNDERMAN THOMPSON CANADA ULC (CW2352760-ACM_185054374).","Services de création publicitaire. Ancien accord : WUNDERMAN THOMPSON CANADA ULC (CW2352760-ACM_185054374).","Advertising agency services","Services publicitaires",82101800,TAXI,TAXI,,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2024-03-01,2026-06-30,CA,Canada,Canada,SA,AMA,CW2353037,"2026-03-12 22:50:02"
"Advertising Creative Services. Legacy agreement: FORSMAN&BODENFORS CANADA (CW2352760-ACM_178444246).","Services de création publicitaire. Ancien accord : FORSMAN&BODENFORS CANADA (CW2352760-ACM_178444246).","Advertising agency services","Services publicitaires",82101800,"FORSMAN & BODENFORS CANADA LP /FORSMAN & BODENFORS CANADA SEC","FORSMAN & BODENFORS CANADA LP /FORSMAN & BODENFORS CANADA SEC",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2024-03-01,2026-06-30,CA,Canada,Canada,SA,AMA,CW2353039,"2026-03-12 22:50:02"
"Advertising Creative Services. Legacy agreement: THE&PARTNERSHIP INC (CW2352760-ACM_161450073).","Services de création publicitaire. Ancien accord : THE&PARTNERSHIP INC (CW2352760-ACM_161450073).","Advertising agency services","Services publicitaires",82101800,"THE&PARTNERSHIP INC","The&Partnership Inc",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2024-03-01,2026-06-30,CA,Canada,Canada,SA,AMA,CW2353041,"2026-03-12 22:50:02"
"Advertising Creative Services. Legacy agreement: VCA INC (CW2352760-ACM_175037923).","Services de création publicitaire. Ancien accord : VCA INC (CW2352760-ACM_175037923).","Advertising agency services","Services publicitaires",82101800,"VCA INC","VCA, Inc",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2024-03-01,2026-06-30,CA,Canada,Canada,SA,AMA,CW2353043,"2026-03-12 22:50:02"
"Advertising Creative Services. Legacy agreement: MCCANN WORLDGROUP CANADA INC (CW2352760-ACM_187658177).","Services de création publicitaire. Ancien accord : MCCANN WORLDGROUP CANADA INC (CW2352760-ACM_187658177).","Advertising agency services","Services publicitaires",82101800,"MCCANN WORLDGROUP CANADAINC","McCann Worldgroup Canada,Inc.",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2024-03-01,2026-06-30,CA,Canada,Canada,SA,AMA,CW2353045,"2026-03-12 22:50:02"
"Advertising Creative Services. Legacy agreement: MEDIAPLUS (CW2352760-ACM_171853416).","Services de création publicitaire. Ancien accord : MEDIAPLUS (CW2352760-ACM_171853416).","Advertising agency services","Services publicitaires",82101800,MEDIAPLUS,Mediaplus,,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2024-03-01,2026-06-30,CA,Canada,Canada,SA,AMA,CW2353047,"2026-03-12 22:50:02"
"Advertising Creative Services. Legacy agreement: GREY CANADA (CW2352760-ACM_185051214).","Services de création publicitaire. Ancien accord : GREY CANADA (CW2352760-ACM_185051214).","Advertising agency services","Services publicitaires",82101800,"GREY CANADA","Grey Canada",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2024-03-01,2026-06-30,CA,Canada,Canada,SA,AMA,CW2353049,"2026-03-12 22:50:02"
"W3713-24KN01.001 Responsive Maintenance Services - CFHA - Kingston","W3713-24KN01.001 Services Entretien Correctifs - CFHA - Kingston","Seeds and bulbs and seedlings and cuttings, Hardwoods, Wood flooring, Vinyl flooring, Laminate flooring, Carpet or rug underlays, Plumbing fixtures, Cleaning Equipment and Supplies, Landscaping services, Snow removal services, Heating and cooling and air","Semences, bulbes, semis et boutures, Bois dur - bois franc, Plancher en bois, Revêtement de sol en vinyle, Plancher laminé, Tapis ou thibaudes, Appareils de plomberie, Matériel et fournitures de nettoyage, Services de paysager, Entretien ou réparations ou","10150000, 11121610, 30161702, 30161707, 30161710, 30161719, 30180000, 47000000, 72102902, 72102903, 72151200, 72152300, 72152600, 73152108, 76101600, 78181501","2086370 ONTARIO INC","2086370 Ontario Inc",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2024-04-01,2026-03-31,CA-ON,Ontario,Ontario,RISO,OCIR,CW2353158,"2026-03-12 22:50:02"
"W3713-24KN01.002 Responsive Maintenance Services - CFHA - Kingston","W3713-24-KN01.002 Services dentretien Correctif - ALFC- Kingston","Seeds and bulbs and seedlings and cuttings, Hardwoods, Wood flooring, Vinyl flooring, Laminate flooring, Carpet or rug underlays, Plumbing fixtures, Cleaning Equipment and Supplies, Landscaping services, Snow removal services, Heating and cooling and air","Semences, bulbes, semis et boutures, Bois dur - bois franc, Plancher en bois, Revêtement de sol en vinyle, Plancher laminé, Tapis ou thibaudes, Appareils de plomberie, Matériel et fournitures de nettoyage, Services de paysager, Entretien ou réparations ou","10150000, 11121610, 30161702, 30161707, 30161710, 30161719, 30180000, 47000000, 72102902, 72102903, 72151200, 72152300, 72152600, 73152108, 76101600, 78181501","JEFF PHILLIPS","Jeff Phillips",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2024-04-01,2026-03-31,CA-ON,Ontario,Ontario,RISO,OCIR,CW2353163,"2026-03-12 22:50:02"
"W3713-24KN01.003 Responsive Maintenance Services - CFHA - Kingston","W3713-24-KN01.003 Services entretien Correctif - ALFC- Kingston","Seeds and bulbs and seedlings and cuttings, Hardwoods, Wood flooring, Vinyl flooring, Laminate flooring, Carpet or rug underlays, Plumbing fixtures, Cleaning Equipment and Supplies, Landscaping services, Snow removal services, Heating and cooling and air","Semences, bulbes, semis et boutures, Bois dur - bois franc, Plancher en bois, Revêtement de sol en vinyle, Plancher laminé, Tapis ou thibaudes, Appareils de plomberie, Matériel et fournitures de nettoyage, Services de paysager, Entretien ou réparations ou","10150000, 11121610, 30161702, 30161707, 30161710, 30161719, 30180000, 47000000, 72102902, 72102903, 72151200, 72152300, 72152600, 73152108, 76101600, 78181501","AINGER GROUP","Ainger Group",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2024-04-01,2026-03-31,CA-ON,Ontario,Ontario,RISO,OCIR,CW2353166,"2026-03-12 22:50:02"
"W3706-24-ED01.001 Responsive Maintenance Services - CFHA - Edmonton","W3706-24-ED01.001 Services d'entretien Correctif - ALFC- Edmonton","Flooring, Residential painting service, Carpentry services, Roofing service, Hazardous material decontamination, Cleaning and janitorial services, Hazardous waste disposal, Facilities management","Revêtement de sol, Service de peinture résidentielle, Services de menuiserie, Service de toiture, Décontamination des matériaux dangereux, Services de nettoyage et de concierge, Enlèvement des déchets dangereux, Gestion des installations","30161700, 72151301, 72152300, 72152601, 76101600, 76110000, 76121900, 81141800","WOODWARD CONSTRUCTION LTD","Woodward Construction Ltd.",,"Department of National Defence","Ministère de la défense nationale",2024-04-01,2026-03-31,CA-AB,Alberta,Alberta,RISO,OCIR,CW2353212,"2026-03-12 22:50:02"
"W3706-24-ED01.002 Responsive Maintenance Services - CFHA - Edmonton","W3706-24-ED01.002 Services d'entretien Correctif - ALFC- Edmonton","Flooring, Residential painting service, Carpentry services, Roofing service, Hazardous material decontamination, Cleaning and janitorial services, Hazardous waste disposal, Facilities management","Revêtement de sol, Service de peinture résidentielle, Services de menuiserie, Service de toiture, Décontamination des matériaux dangereux, Services de nettoyage et de concierge, Enlèvement des déchets dangereux, Gestion des installations","30161700, 72151301, 72152300, 72152601, 76101600, 76110000, 76121900, 81141800","1186254 ALBERTA LTD","1186254 ALBERTA LTD.",,"Department of National Defence","Ministère de la défense nationale",2024-04-01,2026-03-31,CA-AB,Alberta,Alberta,RISO,OCIR,CW2353215,"2026-03-12 22:50:02"
